date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population
2021-04-13,France,67813000,0.0,4535867.0,0.0,102150.0,11762927.0,4056856.0,416.0,453807.0,75.0,1.09,5952.0,31226.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,669.2035450429859,8.777078141359326,46.04721808502794,6.688786810788491,0.1506348340288735,17.346123899547283,5.982416350847183,0.000613451698051996
2021-04-14,France,67813000,0.0,4535867.0,0.0,102150.0,12057536.0,4196723.0,631.0,434691.0,75.0,1.05,5902.0,30868.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,641.0142598026928,8.703345966112693,45.51929571026204,6.688786810788491,0.1506348340288735,17.780567147891997,6.188670313951603,0.0009305000516125226
2021-04-15,France,67813000,0.0,4535867.0,0.0,102150.0,12394741.0,4347279.0,971.0,488101.0,75.0,1.02,5924.0,30668.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,719.7749694011474,8.735788123221212,45.224367009275504,6.688786810788491,0.1506348340288735,18.277824310972825,6.410686741480247,0.0014318788432896347
2021-04-16,France,67813000,0.0,4535867.0,0.0,102150.0,12734103.0,4494321.0,1325.0,486758.0,75.0,1.0,5914.0,30472.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,717.7945231740226,8.721041688171884,44.935336882308704,6.688786810788491,0.1506348340288735,18.778262280093788,6.627521271732559,0.0019539026440358043
2021-04-17,France,67813000,0.0,4535867.0,0.0,102150.0,12922792.0,4584304.0,1434.0,278781.0,75.0,0.98,5877.0,30329.0,29031.14285714286,302.85714285714283,1.0,0.0,0.0,6688.7868107884915,150.6348340288735,411.1025909486382,8.666479878489374,44.72446286110333,6.688786810788491,0.1506348340288735,19.05651128839603,6.760214118236917,0.0021146387860734666
2021-04-18,France,67813000,202154.0,4738021.0,1967.0,104117.0,12974437.0,4619763.0,1482.0,87152.0,75.0,0.96,5893.0,30789.0,28879.14285714286,281.0,1.0,298.1050830961615,2.9006237742025864,6986.891893884653,153.5354578030761,128.51813074189315,8.690074174568299,45.40279887337236,6.986891893884653,0.15353545780307612,19.132669252208277,6.812503502278325,0.0021854216743102356
2021-04-19,France,67813000,0.0,4738021.0,0.0,104117.0,13180189.0,4758067.0,1939.0,344513.0,75.0,0.95,5970.0,31214.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,508.0338578148732,8.803621724448115,46.02952236296875,6.986891893884653,0.15353545780307612,19.436080102635188,7.016452597584534,0.0028593337560644714
2021-04-20,France,67813000,0.0,4738021.0,0.0,104117.0,13434686.0,4930119.0,2508.0,427118.0,75.0,0.94,5984.0,31086.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,629.8467845398375,8.824266733517172,45.84076799433737,6.986891893884653,0.15353545780307612,19.811372450710042,7.270167961895211,0.0036984059103711674
2021-04-21,France,67813000,0.0,4738021.0,0.0,104117.0,13688033.0,5100367.0,3345.0,424432.0,75.0,0.92,5959.0,30954.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,625.8858920855882,8.787400645893854,45.64611505168626,6.986891893884653,0.15353545780307612,20.184968958754222,7.521223069322991,0.004932682523999823
2021-04-22,France,67813000,0.0,4738021.0,0.0,104117.0,13975668.0,5290836.0,4165.0,478924.0,75.0,0.9,5981.0,30634.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,706.2421659563801,8.819842803002373,45.1742291301078,6.986891893884653,0.15353545780307612,20.609128043295534,7.802096943064014,0.006141890198044623
2021-04-23,France,67813000,0.0,4738021.0,0.0,104117.0,14273352.0,5479243.0,4912.0,483180.0,75.0,0.9,5962.0,30438.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,712.5182487133735,8.791824576408654,44.88519900314099,6.986891893884653,0.15353545780307612,21.048105820417913,8.079930101897865,0.007243448896229336
2021-04-24,France,67813000,0.0,4738021.0,0.0,104117.0,14463835.0,5592871.0,5165.0,302794.0,75.0,0.88,5958.0,30100.0,28879.14285714286,281.0,1.0,0.0,0.0,6986.891893884653,153.5354578030761,446.5132054325867,8.785926002388923,44.38676949847374,6.986891893884653,0.15353545780307612,21.329000339168005,8.247490894076357,0.007616533702977306
2021-04-25,France,67813000,179462.0,4917483.0,2062.0,106179.0,14533415.0,5631856.0,5216.0,108491.0,75.0,0.87,5978.0,30287.0,25637.428571428572,294.57142857142856,1.0,264.6424726822291,3.0407149071711914,7251.534366566882,156.5761727102473,159.98554849365166,8.815418872487577,44.662527833896156,7.251534366566882,0.1565761727102473,21.43160603424122,8.304979871116158,0.007691740521728872
2021-04-26,France,67813000,0.0,4917483.0,0.0,106179.0,14754422.0,5793435.0,5781.0,380279.0,75.0,0.86,6001.0,30596.0,25637.428571428572,294.57142857142856,1.0,0.0,0.0,7251.534366566882,156.5761727102473,560.7759574122956,8.849335673101027,45.11819267692035,7.251534366566882,0.1565761727102473,21.75751257133588,8.543251293999674,0.008524914102015837
2021-04-27,France,67813000,0.0,4917483.0,0.0,106179.0,15039080.0,5991024.0,6725.0,473671.0,75.0,0.85,5943.0,30281.0,25637.428571428572,294.57142857142856,1.0,0.0,0.0,7251.534366566882,156.5761727102473,698.4958636249687,8.763806349814933,44.65367997286656,7.251534366566882,0.1565761727102473,22.177281642163006,8.83462462949582,0.00991697757067229
